second,Volt,Ampere,Volt
-2.1200E-03,+90.7752E-03,+4.2651E-03,-486.9441E-03
-2.1100E-03,+111.5214E-03,+4.2651E-03,-311.8720E-03
-2.1000E-03,+132.2677E-03,+4.2651E-03,-311.8720E-03
-2.0900E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-2.0800E-03,+93.3583E-03,+3.6173E-03,-311.8720E-03
-2.0700E-03,+80.4020E-03,+4.2651E-03,-428.6205E-03
-2.0600E-03,+160.8040E-03,+5.5627E-03,-311.8720E-03
-2.0500E-03,+85.6088E-03,+4.5254E-03,-311.8720E-03
-2.0400E-03,+160.8040E-03,+5.0421E-03,-350.7206E-03
-2.0300E-03,+124.5183E-03,+2.0593E-03,-311.8720E-03
-2.0200E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-2.0100E-03,+160.8040E-03,+4.3963E-03,-506.3178E-03
-2.0000E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-1.9900E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-1.9800E-03,+101.1888E-03,+4.2651E-03,-311.8720E-03
-1.9700E-03,+160.7635E-03,+4.2651E-03,-512.7757E-03
-1.9600E-03,+140.0983E-03,+4.2651E-03,-363.6364E-03
-1.9500E-03,+119.3520E-03,+4.2651E-03,-311.8720E-03
-1.9400E-03,+80.4020E-03,+7.3750E-03,-311.8720E-03
-1.9300E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-1.9200E-03,+160.8040E-03,+4.2651E-03,-454.6547E-03
-1.9100E-03,+80.4020E-03,+4.2651E-03,-311.8720E-03
-1.9000E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-1.8900E-03,+85.5278E-03,+7.7726E-03,-311.8720E-03
-1.8800E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-1.8700E-03,+80.4020E-03,+4.2651E-03,-311.8720E-03
-1.8600E-03,+147.7667E-03,+4.2651E-03,-311.8720E-03
-1.8500E-03,+88.1109E-03,+4.2651E-03,-331.1443E-03
-1.8400E-03,+160.8040E-03,+2.8423E-03,-311.8720E-03
-1.8300E-03,+160.8040E-03,+2.7051E-03,-311.8720E-03
-1.8200E-03,+150.3498E-03,+3.7424E-03,-311.8720E-03
-1.8100E-03,+160.8040E-03,+4.7797E-03,-311.8720E-03
-1.8000E-03,+129.7656E-03,+1.7969E-03,-311.8720E-03
-1.7900E-03,+132.1867E-03,+1.6758E-03,-311.8720E-03
-1.7800E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-1.7700E-03,+160.8040E-03,+4.2651E-03,-480.6889E-03
-1.7600E-03,+114.0236E-03,+5.9462E-03,-311.8720E-03
-1.7500E-03,+106.4362E-03,+5.6818E-03,-311.8720E-03
-1.7400E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-1.7300E-03,+160.8040E-03,+4.2651E-03,-350.5180E-03
-1.7200E-03,+116.6067E-03,+4.2651E-03,-311.8720E-03
-1.7100E-03,+103.8530E-03,+5.4376E-03,-311.8720E-03
-1.7000E-03,+158.0993E-03,+4.2651E-03,-318.6338E-03
-1.6900E-03,+160.8040E-03,+4.2651E-03,-356.9759E-03
-1.6800E-03,+160.8040E-03,+2.3257E-03,-311.8720E-03
-1.6700E-03,+101.2699E-03,+6.1984E-03,-311.8720E-03
-1.6600E-03,+80.5236E-03,+4.2651E-03,-311.8720E-03
-1.6500E-03,+80.4020E-03,+4.2651E-03,-311.8720E-03
-1.6400E-03,+160.8040E-03,+4.1481E-03,-311.8720E-03
-1.6300E-03,+98.6867E-03,+4.2651E-03,-357.5838E-03
-1.6200E-03,+158.3424E-03,+4.1420E-03,-311.8720E-03
-1.6100E-03,+80.4020E-03,+4.2651E-03,-311.8720E-03
-1.6000E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-1.5900E-03,+145.1025E-03,+4.2651E-03,-311.8720E-03
-1.5800E-03,+85.4467E-03,+4.0128E-03,-311.8720E-03
-1.5700E-03,+106.1930E-03,+4.2651E-03,-376.3495E-03
-1.5600E-03,+160.8040E-03,+245.0E-06,-311.8720E-03
-1.5500E-03,+93.5204E-03,+4.9210E-03,-311.8720E-03
-1.5400E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-1.5300E-03,+108.7762E-03,+4.2651E-03,-311.8720E-03
-1.5200E-03,+111.6835E-03,+4.2651E-03,-311.8720E-03
-1.5100E-03,+160.8040E-03,+4.7918E-03,-311.8720E-03
